Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Publisher,Date Published,Year Published,Genre,Summary,Number of Pages,Language,ISBN,Physical Location,Google VolumeID
Don Quijote de la Mancha,Volumen I,,,"Antonio A. Arias,Miguel de Cervantes Saavedra","Arias, Antonio A.",Ediciones Naranco,,1972.0,,,218.0,español,9788430055982.0,Estantería 6.3,EStycgAACAAJ
Don Quijote de la Mancha,Volumen II,,,Antonio A. Arias,"Arias, Antonio A.",Ediciones Naranco,,1972.0,,,220.0,español,9788430056804.0,Estantería 6.3,s893tQAACAAJ
Don Quijote de la Mancha,Volumen III,,,Antonio A. Arias,"Arias, Antonio A.",Ediciones Naranco,,1972.0,,,220.0,español,9788430056804.0,Estantería 6.3,s893tQAACAAJ
Don Quijote de la Mancha,Volumen IV,,,Antonio A. Arias,"Arias, Antonio A.",Ediciones Naranco,,1972.0,,,220.0,español,9788430056828.0,Estantería 6.3,kf6xuQAACAAJ
Don Quijote de la Mancha,Volumen V,,,"Miguel de Cervantes Saavedra,Antonio A. Arias","Saavedra, Miguel de Cervantes",Moretón,,1972.0,,,,español,9788473190312.0,Estantería 6.3,7qyx0AEACAAJ
Don Quijote de la Mancha,Volumen VI,,,"Antonio A. Arias,Miguel de Cervantes Saavedra","Arias, Antonio A.",Ediciones Naranco,,1972.0,,,220.0,español,9788473190329.0,Estantería 6.3,bMQ5PwAACAAJ
El cuerpo humano,,,,"Karl Sabbagh,Christiaan Barnard","Sabbagh, Karl",Plaza & Janés,,1984.0,,,223.0,español,9788401601996.0,Estantería 6.3,CEtAPQAACAAJ
El gran libro de consulta El País,,,,Elena Fernández-Arias Almagro,"Almagro, Elena Fernández-Arias",El País/Altea,,1995.0,"Children's encyclopedias and dictionaries, Spanish",,448.0,español,9788492005529.0,Estantería 6.3,z0AZAQAAIAAJ
El gran libro de Egipto (Desplegables asombrosos),,,,Leo Brown,"Brown, Leo",Susaeta Ediciones,2006/10/18,2006.0,Juvenile Nonfiction,,10.0,español,9788430557394.0,Estantería 6.3,aF_fGAAACAAJ
El Libro de la sexualidad,,,,Elena F. L. Ochoa,"Ochoa, Elena F. L.",Diario el País,,1991.0,,,352.0,español,9788485371563.0,Estantería 6.3,yG9_PAAACAAJ
Enciclopedia de las grandes civilizaciones,,,,"Juan Ramón Brotons,Olga Díaz Campo","Brotons, Juan Ramón",Grupo Anaya,,1991.0,,,383.0,español,9788479691400.0,Estantería 6.3,JwMlGQAACAAJ
Europa América,1492 - 1992. La historia revisada,,,John H. Elliott,"Elliott, John H.",“El” Pais,,,,,,,,Estantería 6.3,
Gran atlas enciclopédico,,,,Instituto Geográfico De Agostini,"Agostini, Instituto Geográfico De",Planeta-De Agostini,,1993.0,,,408.0,español,9788439526988.0,Estantería 6.3,kUI3cgAACAAJ
Gran atlas turístico de España y Portugal,,,,Guillermo Luca de Tena,"Tena, Guillermo Luca de",Nobel,,1994.0,,,408.0,español,9788487531392.0,Estantería 6.3,H5tNAAAACAAJ
Gran historia ilustrada del cine,Volumen I,,,Francisco Medina,"Medina, Francisco",Sarpe,,1984.0,,,159.0,español,9788472916364.0,Estantería 6.3,ZMsRPwAACAAJ
Gran historia ilustrada del cine,Volumen II,,,Francisco Medina,"Medina, Francisco",Sarpe,,1984.0,,,155.0,español,9788472916371.0,Estantería 6.3,jGhtrgEACAAJ
Gran historia ilustrada del cine,Volumen III,,,Francisco Medina,"Medina, Francisco",Sarpe,,1984.0,,,155.0,español,9788472916388.0,Estantería 6.3,QWwxPwAACAAJ
Guía visual de pintura y arquitectura,,,,Robert Cumming,"Cumming, Robert",El Pais/Aguilar,,1997.0,Art,,263.0,español,9788403598577.0,Estantería 6.3,6fAkAQAAMAAJ
Historia de las civilizaciones perdidas,,,,Time life,"life, Time",Ediciones Time Folio,,1995.0,,,80.0,español,9788441301559.0,Estantería 6.3,oe-YtAEACAAJ
Historia universal del arte,Volumen II,,,Juan San Miguel,"Miguel, Juan San",Sarpe,,1984.0,,,139.0,español,9788472915909.0,Estantería 6.3,CUvmnQEACAAJ
Las mejores preguntas y respuestas,,,,MUY INTERESANTE,"INTERESANTE, MUY",Ilustrados Grijalbo/lumen,2009/10/09,2009.0,Social Science,"Las preguntas y respuestas más curiosas de la mítica revista de divulgación científica, reunidas en un solo libro..",224.0,español,9788425343490.0,Estantería 6.3,5U27cQAACAAJ
Los 1000 protagonistas el siglo XX,,,,El País,"País, El",“El” Pais,,,,,,,,Estantería 6.3,
Medios de transporte,"automóviles, aviones, barcos, trenes",,,Ediciones Altea,"Altea, Ediciones",El Pais/Altea,,1994.0,,,243.0,español,9788486459598.0,Estantería 6.3,PJU-AQAAIAAJ
